challenge_name	threshold	mean_success_rate	median_success_rate	std_success_rate
4.0-3.0-2.0-2.0-2.0-1.0	0.5	0.1424	0.0	0.3495
4.0-3.0-2.0-2.0-2.0-1.0	0.55	0.0918	0.0	0.2887
4.0-3.0-2.0-2.0-2.0-1.0	0.6	0.0918	0.0	0.2887
4.0-3.0-2.0-2.0-2.0-1.0	0.65	0.0918	0.0	0.2887
4.0-3.0-2.0-2.0-2.0-1.0	0.7	0.0666	0.0	0.2492
4.0-3.0-2.0-2.0-2.0-1.0	0.75	0.0164	0.0	0.1271
4.0-3.0-2.0-2.0-2.0-1.0	0.8	0.0164	0.0	0.1271
4.0-3.0-2.0-2.0-2.0-1.0	0.85	0.0164	0.0	0.1271
4.0-3.0-2.0-2.0-2.0-1.0	0.9	0.0164	0.0	0.1271
4.0-3.0-2.0-2.0-2.0-1.0	0.95	0.0082	0.0	0.0902
4.0-3.0-2.0-2.0-2.0-1.0	1.0	0.0082	0.0	0.0902
