challenge_name	threshold	mean_success_rate	median_success_rate	std_success_rate
3.0-3.0-1.0-4.0-3.0	0.5	0.1488	0.0	0.3559
3.0-3.0-1.0-4.0-3.0	0.55	0.1163	0.0	0.3205
3.0-3.0-1.0-4.0-3.0	0.6	0.0843	0.0	0.2778
3.0-3.0-1.0-4.0-3.0	0.65	0.0667	0.0	0.2494
3.0-3.0-1.0-4.0-3.0	0.7	0.0453	0.0	0.208
3.0-3.0-1.0-4.0-3.0	0.75	0.0278	0.0	0.1645
3.0-3.0-1.0-4.0-3.0	0.8	0.0078	0.0	0.0879
3.0-3.0-1.0-4.0-3.0	0.85	0.0047	0.0	0.0683
3.0-3.0-1.0-4.0-3.0	0.9	0.0017	0.0	0.0407
3.0-3.0-1.0-4.0-3.0	0.95	0.0017	0.0	0.0407
3.0-3.0-1.0-4.0-3.0	1.0	0.0007	0.0	0.0272
