challenge_name	threshold	mean_success_rate	median_success_rate	std_success_rate
3.0-3.0-4.0-1.0-1.0	0.5	0.1735	0.0	0.3787
3.0-3.0-4.0-1.0-1.0	0.55	0.1424	0.0	0.3494
3.0-3.0-4.0-1.0-1.0	0.6	0.1178	0.0	0.3224
3.0-3.0-4.0-1.0-1.0	0.65	0.0989	0.0	0.2985
3.0-3.0-4.0-1.0-1.0	0.7	0.0723	0.0	0.259
3.0-3.0-4.0-1.0-1.0	0.75	0.0464	0.0	0.2104
3.0-3.0-4.0-1.0-1.0	0.8	0.0323	0.0	0.1768
3.0-3.0-4.0-1.0-1.0	0.85	0.0156	0.0	0.124
3.0-3.0-4.0-1.0-1.0	0.9	0.0066	0.0	0.0811
3.0-3.0-4.0-1.0-1.0	0.95	0.0048	0.0	0.0694
3.0-3.0-4.0-1.0-1.0	1.0	0.001	0.0	0.0324
