challenge_name	threshold	mean_success_rate	median_success_rate	std_success_rate
4.0-4.0-1.0-4.0-3.0-1.0	0.5	0.123	0.0	0.3285
4.0-4.0-1.0-4.0-3.0-1.0	0.55	0.0931	0.0	0.2906
4.0-4.0-1.0-4.0-3.0-1.0	0.6	0.0742	0.0	0.2621
4.0-4.0-1.0-4.0-3.0-1.0	0.65	0.0485	0.0	0.2149
4.0-4.0-1.0-4.0-3.0-1.0	0.7	0.0404	0.0	0.1968
4.0-4.0-1.0-4.0-3.0-1.0	0.75	0.0233	0.0	0.1509
4.0-4.0-1.0-4.0-3.0-1.0	0.8	0.0149	0.0	0.1211
4.0-4.0-1.0-4.0-3.0-1.0	0.85	0.0081	0.0	0.0896
4.0-4.0-1.0-4.0-3.0-1.0	0.9	0.0022	0.0	0.0473
4.0-4.0-1.0-4.0-3.0-1.0	0.95	0.0008	0.0	0.0288
4.0-4.0-1.0-4.0-3.0-1.0	1.0	0.0002	0.0	0.0134
