challenge_name	threshold	mean_success_rate	median_success_rate	std_success_rate
4.0-3.0-3.0-3.0-1.0	0.5	0.3502	0.0	0.477
4.0-3.0-3.0-3.0-1.0	0.55	0.0495	0.0	0.2168
4.0-3.0-3.0-3.0-1.0	0.6	0.0495	0.0	0.2168
4.0-3.0-3.0-3.0-1.0	0.65	0.0495	0.0	0.2168
4.0-3.0-3.0-3.0-1.0	0.7	0.0495	0.0	0.2168
4.0-3.0-3.0-3.0-1.0	0.75	0.0495	0.0	0.2168
4.0-3.0-3.0-3.0-1.0	0.8	0.0495	0.0	0.2168
4.0-3.0-3.0-3.0-1.0	0.85	0.0495	0.0	0.2168
4.0-3.0-3.0-3.0-1.0	0.9	0.0495	0.0	0.2168
4.0-3.0-3.0-3.0-1.0	0.95	0.0495	0.0	0.2168
4.0-3.0-3.0-3.0-1.0	1.0	0.0495	0.0	0.2168
