challenge_name	threshold	mean_success_rate	median_success_rate	std_success_rate
4.0-4.0-4.0-3.0-2.0-1.0	0.5	0.1498	0.0	0.3569
4.0-4.0-4.0-3.0-2.0-1.0	0.55	0.0997	0.0	0.2996
4.0-4.0-4.0-3.0-2.0-1.0	0.6	0.0997	0.0	0.2996
4.0-4.0-4.0-3.0-2.0-1.0	0.65	0.0997	0.0	0.2996
4.0-4.0-4.0-3.0-2.0-1.0	0.7	0.0743	0.0	0.2623
4.0-4.0-4.0-3.0-2.0-1.0	0.75	0.0418	0.0	0.2002
4.0-4.0-4.0-3.0-2.0-1.0	0.8	0.0418	0.0	0.2002
4.0-4.0-4.0-3.0-2.0-1.0	0.85	0.025	0.0	0.1561
4.0-4.0-4.0-3.0-2.0-1.0	0.9	0.025	0.0	0.1561
4.0-4.0-4.0-3.0-2.0-1.0	0.95	0.0084	0.0	0.0913
4.0-4.0-4.0-3.0-2.0-1.0	1.0	0.0084	0.0	0.0913
