challenge_name	threshold	mean_success_rate	median_success_rate	std_success_rate
4.0-2.0-4.0-4.0-1.0-3.0	0.5	0.1079	0.0	0.3103
4.0-2.0-4.0-4.0-1.0-3.0	0.55	0.0801	0.0	0.2715
4.0-2.0-4.0-4.0-1.0-3.0	0.6	0.0632	0.0	0.2433
4.0-2.0-4.0-4.0-1.0-3.0	0.65	0.0446	0.0	0.2064
4.0-2.0-4.0-4.0-1.0-3.0	0.7	0.0321	0.0	0.1762
4.0-2.0-4.0-4.0-1.0-3.0	0.75	0.0198	0.0	0.1393
4.0-2.0-4.0-4.0-1.0-3.0	0.8	0.0125	0.0	0.1112
4.0-2.0-4.0-4.0-1.0-3.0	0.85	0.0075	0.0	0.0861
4.0-2.0-4.0-4.0-1.0-3.0	0.9	0.0023	0.0	0.0483
4.0-2.0-4.0-4.0-1.0-3.0	0.95	0.0011	0.0	0.033
4.0-2.0-4.0-4.0-1.0-3.0	1.0	0.0001	0.0	0.0122
