challenge_name	threshold	mean_success_rate	median_success_rate	std_success_rate
2.0-2.0-3.0-1.0-4.0-2.0	0.5	0.1318	0.0	0.3383
2.0-2.0-3.0-1.0-4.0-2.0	0.55	0.0935	0.0	0.2911
2.0-2.0-3.0-1.0-4.0-2.0	0.6	0.0768	0.0	0.2663
2.0-2.0-3.0-1.0-4.0-2.0	0.65	0.0506	0.0	0.2191
2.0-2.0-3.0-1.0-4.0-2.0	0.7	0.0353	0.0	0.1846
2.0-2.0-3.0-1.0-4.0-2.0	0.75	0.0207	0.0	0.1423
2.0-2.0-3.0-1.0-4.0-2.0	0.8	0.0107	0.0	0.1031
2.0-2.0-3.0-1.0-4.0-2.0	0.85	0.0056	0.0	0.0749
2.0-2.0-3.0-1.0-4.0-2.0	0.9	0.001	0.0	0.0311
2.0-2.0-3.0-1.0-4.0-2.0	0.95	0.0008	0.0	0.0274
2.0-2.0-3.0-1.0-4.0-2.0	1.0	0.0002	0.0	0.0158
