challenge_name	threshold	mean_success_rate	median_success_rate	std_success_rate
2.0-1.0-3.0-4.0-2.0-2.0	0.5	0.1315	0.0	0.3379
2.0-1.0-3.0-4.0-2.0-2.0	0.55	0.0936	0.0	0.2913
2.0-1.0-3.0-4.0-2.0-2.0	0.6	0.0774	0.0	0.2673
2.0-1.0-3.0-4.0-2.0-2.0	0.65	0.0511	0.0	0.2202
2.0-1.0-3.0-4.0-2.0-2.0	0.7	0.0356	0.0	0.1854
2.0-1.0-3.0-4.0-2.0-2.0	0.75	0.0207	0.0	0.1422
2.0-1.0-3.0-4.0-2.0-2.0	0.8	0.0108	0.0	0.1035
2.0-1.0-3.0-4.0-2.0-2.0	0.85	0.0053	0.0	0.0725
2.0-1.0-3.0-4.0-2.0-2.0	0.9	0.0011	0.0	0.0328
2.0-1.0-3.0-4.0-2.0-2.0	0.95	0.0009	0.0	0.03
2.0-1.0-3.0-4.0-2.0-2.0	1.0	0.0002	0.0	0.0155
