challenge_name	threshold	mean_success_rate	median_success_rate	std_success_rate
4.0-3.0-2.0-1.0-1.0-1.0	0.5	0.1488	0.0	0.3559
4.0-3.0-2.0-1.0-1.0-1.0	0.55	0.0987	0.0	0.2983
4.0-3.0-2.0-1.0-1.0-1.0	0.6	0.0987	0.0	0.2983
4.0-3.0-2.0-1.0-1.0-1.0	0.65	0.0987	0.0	0.2983
4.0-3.0-2.0-1.0-1.0-1.0	0.7	0.0747	0.0	0.263
4.0-3.0-2.0-1.0-1.0-1.0	0.75	0.0419	0.0	0.2003
4.0-3.0-2.0-1.0-1.0-1.0	0.8	0.0419	0.0	0.2003
4.0-3.0-2.0-1.0-1.0-1.0	0.85	0.0248	0.0	0.1555
4.0-3.0-2.0-1.0-1.0-1.0	0.9	0.0248	0.0	0.1555
4.0-3.0-2.0-1.0-1.0-1.0	0.95	0.0085	0.0	0.0916
4.0-3.0-2.0-1.0-1.0-1.0	1.0	0.0085	0.0	0.0916
