current_mapping	objective_function_value
[0.10500000000000004, 0.5249999999999999, 0.81]	0.6454965772766486
[0.10500000000000004, 0.5249999999999999, 0.81]	0.6454965772766486
[0.10166666666666674, 0.583333333333333, 0.7499999999999998]	0.6670683697595473
[0.10166666666666674, 0.583333333333333, 0.7499999999999998]	0.6670683697595473
[0.10166666666666674, 0.583333333333333, 0.7499999999999998]	0.6670683697595473
[0.10166666666666674, 0.583333333333333, 0.7499999999999998]	0.6670683697595473
[0.10166666666666674, 0.583333333333333, 0.7499999999999998]	0.6670683697595473
[0.10166666666666674, 0.583333333333333, 0.7499999999999998]	0.6670683697595473
[0.10166666666666674, 0.583333333333333, 0.7499999999999998]	0.6670683697595473
[0.10166666666666674, 0.583333333333333, 0.7499999999999998]	0.6670683697595473
[0.10304012345679019, 0.5778742283950615, 0.7406597222222221]	0.6674150891065318
[0.10259002057613174, 0.5718332047325101, 0.7525057870370369]	0.6680798222116671
[0.10259002057613174, 0.5718332047325101, 0.7525057870370369]	0.6680798222116671
[0.10259002057613174, 0.5718332047325101, 0.7525057870370369]	0.6680798222116671
[0.10259002057613174, 0.5718332047325101, 0.7525057870370369]	0.6680798222116671
[0.10259002057613174, 0.5718332047325101, 0.7525057870370369]	0.6680798222116671
[0.10259002057613174, 0.5718332047325101, 0.7525057870370369]	0.6680798222116671
[0.10264433953951385, 0.5745204521450139, 0.7492764127336247]	0.6682492681014346
[0.10264433953951385, 0.5745204521450139, 0.7492764127336247]	0.6682492681014346
[0.10264433953951385, 0.5745204521450139, 0.7492764127336247]	0.6682492681014346
[0.1027563464572326, 0.5724911653500294, 0.7496330273556573]	0.6683075618909593
[0.1027563464572326, 0.5724911653500294, 0.7496330273556573]	0.6683075618909593
[0.10270034299837322, 0.5735058087475217, 0.749454720044641]	0.6683909015280742
[0.10270034299837322, 0.5735058087475217, 0.749454720044641]	0.6683909015280742
[0.10270034299837322, 0.5735058087475217, 0.749454720044641]	0.6683909015280742
[0.10270034299837322, 0.5735058087475217, 0.749454720044641]	0.6683909015280742
[0.10270918632169576, 0.5735804160634733, 0.7494275984456996]	0.6685410258708038
[0.10270918632169576, 0.5735804160634733, 0.7494275984456996]	0.6685410258708038
[0.10270918632169576, 0.5735804160634733, 0.7494275984456996]	0.6685410258708038
[0.10270918632169576, 0.5735804160634733, 0.7494275984456996]	0.6685410258708038
[0.10270918632169576, 0.5735804160634733, 0.7494275984456996]	0.6685410258708038
[0.10270918632169576, 0.5735804160634733, 0.7494275984456996]	0.6685410258708038
[0.10270918632169576, 0.5735804160634733, 0.7494275984456996]	0.6685410258708038
[0.10270918632169576, 0.5735804160634733, 0.7494275984456996]	0.6685410258708038
