current_mapping	objective_function_value
[0.26508385049999994, 0.430039155, 0.7224375794999998]	0.6374353997012475
[0.2398377694999999, 0.4505172099999999, 0.7568393689999997]	0.6417211132533269
[0.25246080999999987, 0.4914733199999999, 0.7224375794999995]	0.6544008111576818
[0.25246080999999987, 0.4914733199999999, 0.7224375794999995]	0.6544008111576818
[0.2314224091666665, 0.5210527327777774, 0.7835963163888884]	0.6547221427934518
[0.2566684901666665, 0.5961389344444439, 0.7721290532222214]	0.6657964397092919
[0.2412403295555554, 0.5877960231481477, 0.7390014040740733]	0.6662860021256016
[0.2412403295555554, 0.5877960231481477, 0.7390014040740733]	0.6662860021256016
[0.2412403295555554, 0.5877960231481477, 0.7390014040740733]	0.6662860021256016
[0.25116214328189285, 0.5658572564060353, 0.7436260616474615]	0.6685991944054199
[0.25116214328189285, 0.5658572564060353, 0.7436260616474615]	0.6685991944054199
[0.25116214328189285, 0.5658572564060353, 0.7436260616474615]	0.6685991944054199
[0.25116214328189285, 0.5658572564060353, 0.7436260616474615]	0.6685991944054199
[0.24454110746407737, 0.5796263372828071, 0.7482172926992734]	0.6690083574769783
[0.24454110746407737, 0.5796263372828071, 0.7482172926992734]	0.6690083574769783
[0.25001661101429595, 0.5802408193858591, 0.7529702491275354]	0.6690632690942255
[0.25001661101429595, 0.5802408193858591, 0.7529702491275354]	0.6690632690942255
[0.24880653621327836, 0.5708445752231777, 0.7476541486621604]	0.6693442068818585
[0.24629157692641773, 0.5722662180414542, 0.751736531016713]	0.6706605096460976
[0.24629157692641773, 0.5722662180414542, 0.751736531016713]	0.6706605096460976
[0.24629157692641773, 0.5722662180414542, 0.751736531016713]	0.6706605096460976
[0.24629157692641773, 0.5722662180414542, 0.751736531016713]	0.6706605096460976
[0.24629157692641773, 0.5722662180414542, 0.751736531016713]	0.6706605096460976
[0.24629157692641773, 0.5722662180414542, 0.751736531016713]	0.6706605096460976
[0.24629157692641773, 0.5722662180414542, 0.751736531016713]	0.6706605096460976
[0.24629157692641773, 0.5722662180414542, 0.751736531016713]	0.6706605096460976
[0.24629157692641773, 0.5722662180414542, 0.751736531016713]	0.6706605096460976
[0.24629157692641773, 0.5722662180414542, 0.751736531016713]	0.6706605096460976
[0.24629157692641773, 0.5722662180414542, 0.751736531016713]	0.6706605096460976
[0.24629157692641773, 0.5722662180414542, 0.751736531016713]	0.6706605096460976
[0.24645008729432638, 0.5722008473426462, 0.7516535987806927]	0.670696801838611
[0.24645008729432638, 0.5722008473426462, 0.7516535987806927]	0.670696801838611
[0.24637083211037206, 0.5722335326920502, 0.7516950648987029]	0.6707615561782947
[0.24637083211037206, 0.5722335326920502, 0.7516950648987029]	0.6707615561782947
[0.24637083211037206, 0.5722335326920502, 0.7516950648987029]	0.6707615561782947
[0.24637083211037206, 0.5722335326920502, 0.7516950648987029]	0.6707615561782947
[0.24643458787449568, 0.5723106100452394, 0.7517125454790405]	0.6708297280751733
[0.24643458787449568, 0.5723106100452394, 0.7517125454790405]	0.6708297280751733
[0.24643458787449568, 0.5723106100452394, 0.7517125454790405]	0.6708297280751733
[0.24643458787449568, 0.5723106100452394, 0.7517125454790405]	0.6708297280751733
