lemma	diff_per_threshold	threshold	mean_overall	mean_per_challenge	mean_per_threshold	median_overall	median_per_challenge	median_per_threshold	std_overall	std_per_challenge	std_per_threshold
part	0.12	0.8	-0.02	-0.15	0.07	-0.03	0.12	0.1	0.44	0.31	0.52
record	0.45	0.8	-0.02	0.44	0.07	-0.03	0.45	0.1	0.44	0.22	0.52
tip	0.46	0.8	-0.02	0.42	0.07	-0.03	0.46	0.1	0.44	0.23	0.52
twist	0.09	0.8	-0.02	0.11	0.07	-0.03	0.09	0.1	0.44	0.02	0.52
arm	0.89	0.85	-0.02	0.34	0.04	-0.03	-0.06	0.1	0.44	0.46	0.5
bank	-0.39	0.85	-0.02	-0.36	0.04	-0.03	-0.39	0.1	0.44	0.1	0.5
bar	-0.5	0.85	-0.02	-0.47	0.04	-0.03	-0.5	0.1	0.44	0.15	0.5
order	-0.57	0.85	-0.02	-0.51	0.04	-0.03	-0.5	0.1	0.44	0.08	0.5
part	0.12	0.85	-0.02	-0.15	0.04	-0.03	0.12	0.1	0.44	0.31	0.5
record	0.27	0.85	-0.02	0.44	0.04	-0.03	0.45	0.1	0.44	0.22	0.5
tip	0.38	0.85	-0.02	0.42	0.04	-0.03	0.46	0.1	0.44	0.23	0.5
twist	0.09	0.85	-0.02	0.11	0.04	-0.03	0.09	0.1	0.44	0.02	0.5
arm	0.78	0.9	-0.02	0.34	0.0	-0.03	-0.06	0.1	0.44	0.46	0.5
bank	-0.39	0.9	-0.02	-0.36	0.0	-0.03	-0.39	0.1	0.44	0.1	0.5
bar	-0.67	0.9	-0.02	-0.47	0.0	-0.03	-0.5	0.1	0.44	0.15	0.5
order	-0.57	0.9	-0.02	-0.51	0.0	-0.03	-0.5	0.1	0.44	0.08	0.5
part	0.12	0.9	-0.02	-0.15	0.0	-0.03	0.12	0.1	0.44	0.31	0.5
record	0.27	0.9	-0.02	0.44	0.0	-0.03	0.45	0.1	0.44	0.22	0.5
tip	0.38	0.9	-0.02	0.42	0.0	-0.03	0.46	0.1	0.44	0.23	0.5
twist	0.09	0.9	-0.02	0.11	0.0	-0.03	0.09	0.1	0.44	0.02	0.5
arm	0.78	0.95	-0.02	0.34	-0.07	-0.03	-0.06	0.04	0.44	0.46	0.47
bank	-0.39	0.95	-0.02	-0.36	-0.07	-0.03	-0.39	0.04	0.44	0.1	0.47
bar	-0.67	0.95	-0.02	-0.47	-0.07	-0.03	-0.5	0.04	0.44	0.15	0.47
order	-0.57	0.95	-0.02	-0.51	-0.07	-0.03	-0.5	0.04	0.44	0.08	0.47
part	0.12	0.95	-0.02	-0.15	-0.07	-0.03	0.12	0.04	0.44	0.31	0.47
record	0.09	0.95	-0.02	0.44	-0.07	-0.03	0.45	0.04	0.44	0.22	0.47
tip	0.0	0.95	-0.02	0.42	-0.07	-0.03	0.46	0.04	0.44	0.23	0.47
twist	0.09	0.95	-0.02	0.11	-0.07	-0.03	0.09	0.04	0.44	0.02	0.47
arm	0.78	1.0	-0.02	0.34	-0.07	-0.03	-0.06	0.04	0.44	0.46	0.47
bank	-0.39	1.0	-0.02	-0.36	-0.07	-0.03	-0.39	0.04	0.44	0.1	0.47
bar	-0.67	1.0	-0.02	-0.47	-0.07	-0.03	-0.5	0.04	0.44	0.15	0.47
order	-0.57	1.0	-0.02	-0.51	-0.07	-0.03	-0.5	0.04	0.44	0.08	0.47
part	0.12	1.0	-0.02	-0.15	-0.07	-0.03	0.12	0.04	0.44	0.31	0.47
record	0.09	1.0	-0.02	0.44	-0.07	-0.03	0.45	0.04	0.44	0.22	0.47
tip	0.0	1.0	-0.02	0.42	-0.07	-0.03	0.46	0.04	0.44	0.23	0.47
twist	0.09	1.0	-0.02	0.11	-0.07	-0.03	0.09	0.04	0.44	0.02	0.47
