lemma	diff_per_threshold	threshold	mean_overall	mean_per_challenge	mean_per_threshold	median_overall	median_per_challenge	median_per_threshold	std_overall	std_per_challenge	std_per_threshold
arm	0.35	0.85	0.09	0.18	0.11	0.1	0.18	0.2	0.36	0.37	0.38
bank	0.14	0.85	0.09	0.04	0.11	0.1	0.14	0.2	0.36	0.25	0.38
bar	0.48	0.85	0.09	0.1	0.11	0.1	0.17	0.2	0.36	0.34	0.38
order	0.35	0.85	0.09	0.34	0.11	0.1	0.35	0.2	0.36	0.33	0.38
part	-0.75	0.85	0.09	-0.45	0.11	0.1	-0.6	0.2	0.36	0.34	0.38
record	0.05	0.85	0.09	0.09	0.11	0.1	0.09	0.2	0.36	0.08	0.38
tip	0.25	0.85	0.09	0.38	0.11	0.1	0.4	0.2	0.36	0.25	0.38
twist	0.0	0.85	0.09	0.07	0.11	0.1	0.0	0.2	0.36	0.12	0.38
arm	0.24	0.9	0.09	0.18	0.13	0.1	0.18	0.1	0.36	0.37	0.14
bank	0.0	0.9	0.09	0.04	0.13	0.1	0.14	0.1	0.36	0.25	0.14
bar	0.3	0.9	0.09	0.1	0.13	0.1	0.17	0.1	0.36	0.34	0.14
order	0.3	0.9	0.09	0.34	0.13	0.1	0.35	0.1	0.36	0.33	0.14
part	0.05	0.9	0.09	-0.45	0.13	0.1	-0.6	0.1	0.36	0.34	0.14
record	0.0	0.9	0.09	0.09	0.13	0.1	0.09	0.1	0.36	0.08	0.14
tip	0.15	0.9	0.09	0.38	0.13	0.1	0.4	0.1	0.36	0.25	0.14
twist	0.0	0.9	0.09	0.07	0.13	0.1	0.0	0.1	0.36	0.12	0.14
arm	0.18	0.95	0.09	0.18	0.09	0.1	0.18	0.03	0.36	0.37	0.12
bank	0.0	0.95	0.09	0.04	0.09	0.1	0.14	0.03	0.36	0.25	0.12
bar	0.26	0.95	0.09	0.1	0.09	0.1	0.17	0.03	0.36	0.34	0.12
order	0.25	0.95	0.09	0.34	0.09	0.1	0.35	0.03	0.36	0.33	0.12
part	0.05	0.95	0.09	-0.45	0.09	0.1	-0.6	0.03	0.36	0.34	0.12
record	0.0	0.95	0.09	0.09	0.09	0.1	0.09	0.03	0.36	0.08	0.12
tip	0.0	0.95	0.09	0.38	0.09	0.1	0.4	0.03	0.36	0.25	0.12
twist	0.0	0.95	0.09	0.07	0.09	0.1	0.0	0.03	0.36	0.12	0.12
arm	0.12	1.0	0.09	0.18	0.06	0.1	0.18	0.03	0.36	0.37	0.07
bank	0.0	1.0	0.09	0.04	0.06	0.1	0.14	0.03	0.36	0.25	0.07
bar	0.17	1.0	0.09	0.1	0.06	0.1	0.17	0.03	0.36	0.34	0.07
order	0.1	1.0	0.09	0.34	0.06	0.1	0.35	0.03	0.36	0.33	0.07
part	0.05	1.0	0.09	-0.45	0.06	0.1	-0.6	0.03	0.36	0.34	0.07
record	0.0	1.0	0.09	0.09	0.06	0.1	0.09	0.03	0.36	0.08	0.07
tip	0.0	1.0	0.09	0.38	0.06	0.1	0.4	0.03	0.36	0.25	0.07
twist	0.0	1.0	0.09	0.07	0.06	0.1	0.0	0.03	0.36	0.12	0.07
